id,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
0,Alabama,359.6,374.6,367.1,9297,Incidence,2293259,All Races,Female,All Cancer Sites Combined,1999,397.2,413.7,405.4
1,Alabama,160.6,170.5,165.5,4366,Mortality,2293259,All Races,Female,All Cancer Sites Combined,1999,184.8,196.1,190.4
2,Alabama,361.8,376.8,369.3,9469,Incidence,2302835,All Races,Female,All Cancer Sites Combined,2000,402.9,419.6,411.2
3,Alabama,160.8,170.6,165.7,4425,Mortality,2302835,All Races,Female,All Cancer Sites Combined,2000,186.5,197.9,192.2
4,Alabama,377.5,392.7,385.0,9966,Incidence,2309496,All Races,Female,All Cancer Sites Combined,2001,423.1,440.1,431.5
5,Alabama,164.7,174.7,169.7,4550,Mortality,2309496,All Races,Female,All Cancer Sites Combined,2001,191.3,202.8,197.0
6,Alabama,381.8,397.1,389.4,10141,Incidence,2314370,All Races,Female,All Cancer Sites Combined,2002,429.7,446.8,438.2
7,Alabama,158.3,168.0,163.1,4407,Mortality,2314370,All Races,Female,All Cancer Sites Combined,2002,184.8,196.1,190.4
8,Alabama,357.3,372.1,364.6,9591,Incidence,2324069,All Races,Female,All Cancer Sites Combined,2003,404.5,421.0,412.7
9,Alabama,158.9,168.6,163.7,4472,Mortality,2324069,All Races,Female,All Cancer Sites Combined,2003,186.8,198.1,192.4
10,Alabama,377.5,392.6,385.0,10240,Incidence,2337857,All Races,Female,All Cancer Sites Combined,2004,429.6,446.6,438.0
11,Alabama,158.9,168.5,163.6,4498,Mortality,2337857,All Races,Female,All Cancer Sites Combined,2004,186.8,198.1,192.4
12,Alabama,382.0,397.0,389.5,10512,Incidence,2354514,All Races,Female,All Cancer Sites Combined,2005,438.0,455.1,446.5
13,Alabama,160.2,169.8,165.0,4599,Mortality,2354514,All Races,Female,All Cancer Sites Combined,2005,189.7,201.1,195.3
14,Alabama,378.4,393.3,385.8,10580,Incidence,2385480,All Races,Female,All Cancer Sites Combined,2006,435.1,452.0,443.5
15,Alabama,153.9,163.3,158.6,4490,Mortality,2385480,All Races,Female,All Cancer Sites Combined,2006,182.8,193.8,188.2
16,Alabama,388.5,403.4,395.9,11005,Incidence,2407275,All Races,Female,All Cancer Sites Combined,2007,448.7,465.8,457.2
17,Alabama,151.8,161.1,156.4,4492,Mortality,2407275,All Races,Female,All Cancer Sites Combined,2007,181.2,192.1,186.6
18,Alabama,401.9,417.0,409.4,11644,Incidence,2430257,All Races,Female,All Cancer Sites Combined,2008,470.5,487.9,479.1
19,Alabama,152.3,161.4,156.8,4618,Mortality,2430257,All Races,Female,All Cancer Sites Combined,2008,184.6,195.6,190.0
20,Alabama,396.0,410.9,403.4,11592,Incidence,2448159,All Races,Female,All Cancer Sites Combined,2009,464.9,482.2,473.5
21,Alabama,152.7,161.9,157.3,4668,Mortality,2448159,All Races,Female,All Cancer Sites Combined,2009,185.2,196.2,190.7
22,Alabama,392.4,398.9,395.6,58593,Incidence,12356437,All Races,Female,All Cancer Sites Combined,2009-2013,470.4,478.0,474.2
23,Alabama,148.2,152.2,150.2,22988,Mortality,12356437,All Races,Female,All Cancer Sites Combined,2009-2013,183.6,188.5,186.0
24,Alabama,390.2,405.0,397.6,11632,Incidence,2463573,All Races,Female,All Cancer Sites Combined,2010,463.6,480.8,472.2
25,Alabama,148.8,157.7,153.2,4624,Mortality,2463573,All Races,Female,All Cancer Sites Combined,2010,182.3,193.2,187.7
26,Alabama,382.0,396.6,389.2,11520,Incidence,2472801,All Races,Female,All Cancer Sites Combined,2011,457.4,474.5,465.9
27,Alabama,143.7,152.5,148.1,4530,Mortality,2472801,All Races,Female,All Cancer Sites Combined,2011,177.9,188.6,183.2
28,Alabama,388.2,402.8,395.5,11858,Incidence,2481503,All Races,Female,All Cancer Sites Combined,2012,469.3,486.5,477.9
29,Alabama,143.0,151.8,147.3,4568,Mortality,2481503,All Races,Female,All Cancer Sites Combined,2012,178.8,189.5,184.1
30,Alabama,385.4,399.8,392.6,11991,Incidence,2490401,All Races,Female,All Cancer Sites Combined,2013,472.9,490.2,481.5
31,Alabama,141.3,149.9,145.6,4598,Mortality,2490401,All Races,Female,All Cancer Sites Combined,2013,179.3,190.0,184.6
32,Alabama,4.4,6.3,5.3,130,Incidence,2293259,All Races,Female,Brain and Other Nervous System,1999,4.7,6.7,5.7
33,Alabama,3.0,4.6,3.8,95,Mortality,2293259,All Races,Female,Brain and Other Nervous System,1999,3.4,5.1,4.1
34,Alabama,5.0,7.0,6.0,146,Incidence,2302835,All Races,Female,Brain and Other Nervous System,2000,5.4,7.5,6.3
35,Alabama,2.8,4.3,3.5,91,Mortality,2302835,All Races,Female,Brain and Other Nervous System,2000,3.2,4.9,4.0
36,Alabama,4.9,6.8,5.8,145,Incidence,2309496,All Races,Female,Brain and Other Nervous System,2001,5.3,7.4,6.3
37,Alabama,3.1,4.7,3.9,99,Mortality,2309496,All Races,Female,Brain and Other Nervous System,2001,3.5,5.2,4.3
38,Alabama,4.6,6.5,5.5,138,Incidence,2314370,All Races,Female,Brain and Other Nervous System,2002,5.0,7.0,6.0
39,Alabama,3.1,4.6,3.8,100,Mortality,2314370,All Races,Female,Brain and Other Nervous System,2002,3.5,5.3,4.3
40,Alabama,4.3,6.2,5.2,131,Incidence,2324069,All Races,Female,Brain and Other Nervous System,2003,4.7,6.7,5.6
41,Alabama,2.8,4.2,3.4,91,Mortality,2324069,All Races,Female,Brain and Other Nervous System,2003,3.2,4.8,3.9
42,Alabama,4.9,6.9,5.8,143,Incidence,2337857,All Races,Female,Brain and Other Nervous System,2004,5.2,7.2,6.1
43,Alabama,2.9,4.3,3.5,95,Mortality,2337857,All Races,Female,Brain and Other Nervous System,2004,3.3,5.0,4.1
44,Alabama,4.5,6.3,5.3,138,Incidence,2354514,All Races,Female,Brain and Other Nervous System,2005,4.9,6.9,5.9
45,Alabama,2.5,3.9,3.1,85,Mortality,2354514,All Races,Female,Brain and Other Nervous System,2005,2.9,4.5,3.6
46,Alabama,5.4,7.5,6.4,164,Incidence,2385480,All Races,Female,Brain and Other Nervous System,2006,5.9,8.0,6.9
47,Alabama,2.8,4.2,3.5,93,Mortality,2385480,All Races,Female,Brain and Other Nervous System,2006,3.1,4.8,3.9
48,Alabama,4.7,6.6,5.6,146,Incidence,2407275,All Races,Female,Brain and Other Nervous System,2007,5.1,7.1,6.1
49,Alabama,3.4,4.9,4.1,113,Mortality,2407275,All Races,Female,Brain and Other Nervous System,2007,3.9,5.6,4.7
50,Alabama,5.4,7.4,6.4,171,Incidence,2430257,All Races,Female,Brain and Other Nervous System,2008,6.0,8.2,7.0
51,Alabama,3.2,4.8,4.0,111,Mortality,2430257,All Races,Female,Brain and Other Nervous System,2008,3.8,5.5,4.6
52,Alabama,5.0,6.9,5.9,162,Incidence,2448159,All Races,Female,Brain and Other Nervous System,2009,5.6,7.7,6.6
53,Alabama,3.5,5.0,4.2,120,Mortality,2448159,All Races,Female,Brain and Other Nervous System,2009,4.1,5.9,4.9
54,Alabama,5.3,6.1,5.7,790,Incidence,12356437,All Races,Female,Brain and Other Nervous System,2009-2013,6.0,6.9,6.4
55,Alabama,3.7,4.4,4.0,606,Mortality,12356437,All Races,Female,Brain and Other Nervous System,2009-2013,4.5,5.3,4.9
56,Alabama,4.6,6.4,5.4,152,Incidence,2463573,All Races,Female,Brain and Other Nervous System,2010,5.2,7.2,6.2
57,Alabama,3.5,5.1,4.3,126,Mortality,2463573,All Races,Female,Brain and Other Nervous System,2010,4.3,6.1,5.1
58,Alabama,4.0,5.7,4.8,134,Incidence,2472801,All Races,Female,Brain and Other Nervous System,2011,4.5,6.4,5.4
59,Alabama,3.1,4.6,3.8,114,Mortality,2472801,All Races,Female,Brain and Other Nervous System,2011,3.8,5.5,4.6
60,Alabama,5.3,7.3,6.3,174,Incidence,2481503,All Races,Female,Brain and Other Nervous System,2012,6.0,8.1,7.0
61,Alabama,3.1,4.6,3.8,117,Mortality,2481503,All Races,Female,Brain and Other Nervous System,2012,3.9,5.7,4.7
62,Alabama,5.0,6.9,5.9,168,Incidence,2490401,All Races,Female,Brain and Other Nervous System,2013,5.8,7.8,6.7
63,Alabama,3.5,5.0,4.2,129,Mortality,2490401,All Races,Female,Brain and Other Nervous System,2013,4.3,6.2,5.2
64,Alabama,8.8,11.5,10.1,237,Incidence,2293259,All Races,Female,Cervix,1999,9.1,11.7,10.3
65,Alabama,1.9,3.2,2.5,63,Mortality,2293259,All Races,Female,Cervix,1999,2.1,3.5,2.7
66,Alabama,8.7,11.3,10.0,238,Incidence,2302835,All Races,Female,Cervix,2000,9.1,11.7,10.3
67,Alabama,3.1,4.7,3.9,96,Mortality,2302835,All Races,Female,Cervix,2000,3.4,5.1,4.2
68,Alabama,8.5,11.1,9.7,232,Incidence,2309496,All Races,Female,Cervix,2001,8.8,11.4,10.0
69,Alabama,2.6,4.1,3.3,84,Mortality,2309496,All Races,Female,Cervix,2001,2.9,4.5,3.6
70,Alabama,9.6,12.3,10.8,261,Incidence,2314370,All Races,Female,Cervix,2002,10.0,12.7,11.3
71,Alabama,2.4,3.8,3.0,77,Mortality,2314370,All Races,Female,Cervix,2002,2.6,4.2,3.3
72,Alabama,7.4,9.8,8.5,204,Incidence,2324069,All Races,Female,Cervix,2003,7.6,10.1,8.8
73,Alabama,2.3,3.7,3.0,74,Mortality,2324069,All Races,Female,Cervix,2003,2.5,4.0,3.2
74,Alabama,7.2,9.6,8.3,199,Incidence,2337857,All Races,Female,Cervix,2004,7.4,9.8,8.5
75,Alabama,2.3,3.7,3.0,76,Mortality,2337857,All Races,Female,Cervix,2004,2.6,4.1,3.3
76,Alabama,6.9,9.3,8.0,196,Incidence,2354514,All Races,Female,Cervix,2005,7.2,9.6,8.3
77,Alabama,2.8,4.3,3.5,92,Mortality,2354514,All Races,Female,Cervix,2005,3.1,4.8,3.9
78,Alabama,6.9,9.3,8.0,198,Incidence,2385480,All Races,Female,Cervix,2006,7.2,9.5,8.3
79,Alabama,2.1,3.4,2.7,72,Mortality,2385480,All Races,Female,Cervix,2006,2.4,3.8,3.0
80,Alabama,8.5,11.0,9.7,237,Incidence,2407275,All Races,Female,Cervix,2007,8.6,11.2,9.8
81,Alabama,2.4,3.8,3.0,83,Mortality,2407275,All Races,Female,Cervix,2007,2.7,4.3,3.4
82,Alabama,7.0,9.3,8.1,197,Incidence,2430257,All Races,Female,Cervix,2008,7.0,9.3,8.1
83,Alabama,2.5,3.9,3.2,82,Mortality,2430257,All Races,Female,Cervix,2008,2.7,4.2,3.4
84,Alabama,8.1,10.5,9.2,235,Incidence,2448159,All Races,Female,Cervix,2009,8.4,10.9,9.6
85,Alabama,2.2,3.6,2.8,76,Mortality,2448159,All Races,Female,Cervix,2009,2.4,3.9,3.1
86,Alabama,8.1,9.1,8.6,1096,Incidence,12356437,All Races,Female,Cervix,2009-2013,8.4,9.4,8.9
87,Alabama,2.8,3.4,3.1,422,Mortality,12356437,All Races,Female,Cervix,2009-2013,3.1,3.8,3.4
88,Alabama,6.8,9.0,7.8,198,Incidence,2463573,All Races,Female,Cervix,2010,7.0,9.2,8.0
89,Alabama,2.2,3.6,2.9,77,Mortality,2463573,All Races,Female,Cervix,2010,2.5,3.9,3.1
90,Alabama,7.0,9.3,8.1,206,Incidence,2472801,All Races,Female,Cervix,2011,7.2,9.5,8.3
91,Alabama,2.7,4.2,3.4,89,Mortality,2472801,All Races,Female,Cervix,2011,2.9,4.4,3.6
92,Alabama,8.2,10.8,9.4,235,Incidence,2481503,All Races,Female,Cervix,2012,8.3,10.8,9.5
93,Alabama,2.3,3.7,2.9,78,Mortality,2481503,All Races,Female,Cervix,2012,2.5,3.9,3.1
94,Alabama,7.4,9.7,8.5,222,Incidence,2490401,All Races,Female,Cervix,2013,7.8,10.2,8.9
95,Alabama,2.9,4.4,3.6,102,Mortality,2490401,All Races,Female,Cervix,2013,3.3,5.0,4.1
96,Alabama,39.6,44.7,42.1,1102,Incidence,2293259,All Races,Female,Colon and Rectum,1999,45.3,51.0,48.1
97,Alabama,15.2,18.3,16.7,452,Mortality,2293259,All Races,Female,Colon and Rectum,1999,17.9,21.6,19.7
98,Alabama,41.2,46.3,43.7,1157,Incidence,2302835,All Races,Female,Colon and Rectum,2000,47.4,53.2,50.2
99,Alabama,13.7,16.7,15.1,420,Mortality,2302835,All Races,Female,Colon and Rectum,2000,16.5,20.1,18.2
100,Alabama,39.8,44.8,42.2,1124,Incidence,2309496,All Races,Female,Colon and Rectum,2001,45.9,51.6,48.7
101,Alabama,14.7,17.8,16.2,441,Mortality,2309496,All Races,Female,Colon and Rectum,2001,17.4,21.0,19.1
